"","Comparison","Annotation","P_value","Lower_CI","Upper_CI","FDR_P"
"555","Overlap-onset vs. controls","Neurons",0.000182070625697421,0.0358568940850633,0.165868809392147,0.00109242375418452
"556","Adult-onset vs. childhood-onset","Neurons",0.471682923583955,-0.0454909378845532,0.115553616098636,0.471682923583955
"557","Adult-onset vs. overlap-onset","Neurons",0.32272658793106,-0.148311720432856,0.0611835288050662,0.387271905517272
"558","Childhood-onset vs. overlap-onset","Neurons",0.0036378740068514,-0.131365719264666,-0.0217377455347423,0.0109136220205542
"559","Adult-onset vs. controls","Vascular.cells",0.179711401742224,-0.0143024533529559,0.108170401323843,0.379150673479498
"560","Childhood-onset vs. controls","Vascular.cells",0.00169981372283761,0.00612105649124237,0.0433723173016626,0.0101988823370257
"561","Overlap-onset vs. controls","Vascular.cells",0.425107682883693,-0.013834185669325,0.0345487916193636,0.510129219460432
"562","Adult-onset vs. childhood-onset","Vascular.cells",0.672612692815111,-0.0379944745723741,0.0610617612824531,0.672612692815111
"563","Adult-onset vs. overlap-onset","Vascular.cells",0.252767115652998,-0.025115559318482,0.103536791303015,0.379150673479498
"564","Childhood-onset vs. overlap-onset","Vascular.cells",0.193519386017801,-0.0078856991217285,0.0547644907632208,0.379150673479498
"565","Adult-onset vs. controls","CNS.glia",0.536583118528822,-0.026053613423647,0.0555298850898432,0.536583118528822
"566","Childhood-onset vs. controls","CNS.glia",1.11430700873954e-11,0.0394008124567612,0.0746726511881831,6.68584205243726e-11
"567","Overlap-onset vs. controls","CNS.glia",0.00490986587785581,0.00705018794793033,0.0590590438543824,0.0147295976335674
"568","Adult-onset vs. childhood-onset","CNS.glia",0.0335172673402791,-0.0812624176727273,-0.00256731525048378,0.0670345346805582
"569","Adult-onset vs. overlap-onset","CNS.glia",0.326725175140636,-0.0626422622260137,0.016473461661092,0.392070210168763
"570","Childhood-onset vs. overlap-onset","CNS.glia",0.131040585265388,-0.00424924696582398,0.0458277465600753,0.196560877898082
"571","Adult-onset vs. controls","CNS.neurons",0.255009624092922,-0.0202727939866293,0.0968027554402692,0.306011548911506
"572","Childhood-onset vs. controls","CNS.neurons",0.000644118778284553,0.0108876691058628,0.049509573270796,0.00193235633485366
"573","Overlap-onset vs. controls","CNS.neurons",1.30855859714848e-05,0.0340621064290893,0.123744341320807,7.85135158289089e-05
"574","Adult-onset vs. childhood-onset","CNS.neurons",0.948072402124531,-0.0486505711240387,0.0557841094916106,0.948072402124531
"575","Adult-onset vs. overlap-onset","CNS.neurons",0.148557356890561,-0.118724134264743,0.0139687059940891,0.222836035335842
"576","Childhood-onset vs. overlap-onset","CNS.neurons",0.00547135379746996,-0.0863803646240828,-0.0128180708859777,0.0109427075949399
"577","Adult-onset vs. controls","Immune.cells.1",0.0570514285675949,-3.26396981092756e-05,0.0676190837939422,0.0855771428513923
"578","Childhood-onset vs. controls","Immune.cells.1",3.60004324793302e-09,0.0169093089081264,0.0397644337459599,2.16002594875981e-08
"579","Overlap-onset vs. controls","Immune.cells.1",0.0515351104328121,-3.23513755965313e-06,0.021120517318387,0.0855771428513923
"580","Adult-onset vs. childhood-onset","Immune.cells.1",0.921496079686777,-0.0374655785561306,0.0367667588807905,0.921496079686777
